,element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Acc
0,Fe,1,432.57616,6e-05,432.57616,3e-05,830000,B+
1,Fe,1,440.47501,6e-05,440.47498,3e-05,810000,A
2,Fe,1,427.17602,5e-05,427.17599,3e-05,630000,A
3,Fe,1,430.7902,6e-05,430.79017,3e-05,630000,B+
4,Fe,1,441.51222,6e-05,441.51221,3e-05,288000,A
5,Fe,1,426.04741,5e-05,426.04736,3e-05,224000,B
6,Fe,1,438.35447,6e-05,438.35444,3e-05,141000,A
7,Fe,1,437.59298,6e-05,437.592935,1.9e-05,138000,A
8,Fe,1,442.73096,6e-05,442.73095,3e-05,117000,A
9,Fe,1,428.24026,6e-05,428.24026,3e-05,89000,B+
10,Fe,1,427.11535,5e-05,427.11531,3e-05,87000,B
11,Fe,1,446.16525,6e-05,446.16524,3e-05,74000,A
12,Fe,1,452.86139,6e-05,452.86136,3e-05,65000,B
13,Fe,1,429.9235,0.0004,429.9234,3e-05,63000,B+
14,Fe,1,429.9235,0.0004,429.92394,4e-05,63000,
15,Fe,1,431.50843,6e-05,431.50844,3e-05,62000,B+
16,Fe,1,429.41245,6e-05,429.41244,3e-05,58000,B+
17,Fe,1,446.65515,6e-05,446.6551,3e-05,45700,B+
18,Fe,1,448.21696,6e-05,448.21691,3e-05,37200,A
19,Fe,1,435.27344,6e-05,435.27345,3e-05,36300,B+
20,Fe,1,436.97715,6e-05,436.97716,3e-05,27500,C+
21,Fe,1,447.60183,6e-05,447.60184,3e-05,25100,B+
22,Fe,1,433.7046,6e-05,433.70454,3e-05,22900,A
23,Fe,1,444.3194,0.0004,444.31953,3e-05,14100,
24,Fe,1,444.3194,0.0004,444.31938,3e-05,14100,B+
25,Fe,1,453.11478,6e-05,453.11477,3e-05,13800,A
26,Fe,1,444.23387,6e-05,444.23386,3e-05,13500,B
27,Fe,1,448.97388,6e-05,448.97387,3e-05,12900,A
28,Fe,1,449.45629,6e-05,449.45628,3e-05,12600,B
29,Fe,1,442.25678,6e-05,442.25677,3e-05,12300,B+
30,Fe,1,430.93742,6e-05,430.93741,4e-05,10500,C+
31,Fe,1,429.14634,6e-05,429.14629,3e-05,9800,B
32,Fe,1,445.91173,6e-05,445.9117,3e-05,9500,B
33,Fe,1,444.7717,6e-05,444.77169,3e-05,9500,B
34,Fe,1,436.75782,6e-05,436.75781,3e-05,9100,B
35,Fe,1,446.93753,6e-05,446.93754,3e-05,8300,C+
36,Fe,1,445.43807,6e-05,445.43808,3e-05,8300,B+
37,Fe,1,447.60752,6e-05,447.60753,3e-05,8100,
38,Fe,1,448.22524,6e-05,448.22523,3e-05,7800,C
39,Fe,1,454.78471,6e-05,454.78468,5e-05,7800,D+
40,Fe,1,429.80362,6e-05,429.80364,3e-05,6300,B
41,Fe,1,426.69642,5e-05,426.69641,3e-05,6200,B+
42,Fe,1,452.51365,6e-05,452.51364,3e-05,6000,
43,Fe,1,439.09502,6e-05,439.09503,3e-05,5500,C+
44,Fe,1,438.84065,6e-05,438.84066,3e-05,5100,B
45,Fe,1,443.51486,6e-05,443.51485,3e-05,4900,A
46,Fe,1,426.78262,5e-05,426.78263,4e-05,4680,B
47,Fe,1,448.42195,6e-05,448.42198,3e-05,4570,B
48,Fe,1,428.54417,6e-05,428.54415,4e-05,4170,D+
49,Fe,1,443.06137,6e-05,443.06136,3e-05,4170,B
50,Fe,1,455.61256,6e-05,455.61259,3e-05,4070,B
51,Fe,1,430.54502,6e-05,430.54501,3e-05,3890,C+
52,Fe,1,440.84132,6e-05,440.84132,3e-05,3890,D+
53,Fe,1,443.32184,6e-05,443.32183,3e-05,3720,D
54,Fe,1,432.70953,6e-05,432.70954,3e-05,3630,B
55,Fe,1,428.81455,6e-05,428.81455,3e-05,3470,B+
56,Fe,1,438.78909,6e-05,438.78908,3e-05,3240,C+
57,Fe,1,438.9245,0.0004,438.92442,3e-05,3240,A
58,Fe,1,425.83156,5e-05,425.83157,3e-05,3240,A
59,Fe,1,430.21855,6e-05,430.21856,3e-05,2750,B
60,Fe,1,440.77089,6e-05,440.77086,3e-05,2690,D+
61,Fe,1,438.27677,6e-05,438.27676,4e-05,2450,C+
62,Fe,1,435.15436,6e-05,435.15437,3e-05,2340,B
63,Fe,1,430.90304,6e-05,430.90303,4e-05,2290,B
64,Fe,1,449.00837,6e-05,449.0084,3e-05,2240,D
65,Fe,1,440.12896,6e-05,440.12897,3e-05,2190,D
66,Fe,1,444.28313,6e-05,444.2831,3e-05,1910,B
67,Fe,1,435.84989,6e-05,435.85007,3e-05,1860,C+
68,Fe,1,436.79033,6e-05,436.79032,3e-05,1860,C+
69,Fe,1,444.71301,6e-05,444.71298,3e-05,1780,C+
70,Fe,1,429.03786,6e-05,429.03789,3e-05,1780,C+
71,Fe,1,455.25413,2e-05,,,1740,
72,Fe,1,448.56753,6e-05,448.56756,3e-05,1700,D
73,Fe,1,426.87485,5e-05,426.87486,3e-05,1660,C+
74,Fe,1,452.96758,2e-05,,,1620,
75,Fe,1,430.45405,6e-05,430.45402,3e-05,1550,B
76,Fe,1,437.35604,6e-05,437.35605,3e-05,1510,C
77,Fe,1,434.65523,6e-05,434.65522,3e-05,1450,B
78,Fe,1,446.197,0.0004,446.19682,3e-05,1450,B
79,Fe,1,446.197,0.0004,446.1971,3e-05,1450,
80,Fe,1,426.01349,5e-05,426.0135,3e-05,1410,C+
81,Fe,1,434.36972,6e-05,434.36971,3e-05,1260,B
82,Fe,1,443.37821,6e-05,443.37818,3e-05,1230,B
83,Fe,1,447.96025,6e-05,447.95979,4e-05,1230,
84,Fe,1,425.99989,5e-05,425.99989,3e-05,1200,D
85,Fe,1,432.6753,6e-05,432.67529,3e-05,1200,C
86,Fe,1,445.63254,6e-05,445.63255,3e-05,1150,B
87,Fe,1,448.01363,6e-05,448.01366,3e-05,1150,C
88,Fe,1,451.75242,6e-05,451.75239,3e-05,1120,C+
89,Fe,1,443.01888,6e-05,443.01887,3e-05,1120,E
90,Fe,1,443.69203,6e-05,443.69204,3e-05,1100,C
91,Fe,1,440.50187,6e-05,440.50185,3e-05,1070,C+
92,Fe,1,434.89363,6e-05,434.89366,3e-05,1070,D+
93,Fe,1,434.3271,0.0004,434.32708,3e-05,1020,D
94,Fe,1,456.9055,0.0004,456.90532,3e-05,1020,
95,Fe,1,425.89514,5e-05,425.89513,3e-05,980,C+
96,Fe,1,440.14426,6e-05,440.14425,3e-05,950,C+
97,Fe,1,446.47662,6e-05,446.47657,3e-05,890,C+
98,Fe,1,425.55001,0.00014,425.55004,3e-05,890,D+
99,Fe,1,426.42032,5e-05,426.42033,3e-05,870,C+
100,Fe,1,448.2739,6e-05,448.27389,3e-05,850,E
101,Fe,1,454.94666,6e-05,454.94655,3e-05,830,
102,Fe,1,451.41836,6e-05,451.41839,3e-05,830,D+
103,Fe,1,445.80799,6e-05,445.808,3e-05,830,
104,Fe,1,443.25675,6e-05,443.25674,3e-05,810,D
105,Fe,1,449.07597,6e-05,449.07596,3e-05,790,
106,Fe,1,432.79031,6e-05,432.79034,4e-05,790,C+
107,Fe,1,447.2711,0.00016,447.27049,3e-05,780,
108,Fe,1,445.03153,6e-05,445.03156,4e-05,760,C+
109,Fe,1,453.163,0.0004,453.16255,3e-05,760,
110,Fe,1,444.68318,6e-05,444.68319,3e-05,760,B
111,Fe,1,453.163,0.0004,453.16356,3e-05,760,
112,Fe,1,445.5027,6e-05,445.50269,3e-05,740,E
113,Fe,1,432.59397,6e-05,432.59405,3e-05,720,D+
114,Fe,1,452.87567,6e-05,452.87566,3e-05,710,C
115,Fe,1,443.98805,0.00016,443.98812,3e-05,680,B
116,Fe,1,452.95508,6e-05,452.95499,3e-05,680,
117,Fe,1,452.63986,6e-05,452.63981,3e-05,650,
118,Fe,1,437.44889,6e-05,437.44888,3e-05,620,C
119,Fe,1,450.25906,6e-05,450.25907,5e-05,620,E
120,Fe,1,429.3798,0.00015,429.37979,4e-05,600,
121,Fe,1,428.69834,0.00015,428.69829,3e-05,590,
122,Fe,1,427.82311,0.00015,427.823,3e-05,580,D
123,Fe,1,445.93524,0.00016,445.93521,3e-05,550,
124,Fe,1,448.1609,6e-05,448.16089,3e-05,540,D
125,Fe,1,428.4405,0.0004,428.4408,4e-05,540,
126,Fe,1,428.4405,0.0004,428.44051,3e-05,540,E
127,Fe,1,436.58964,0.00015,436.58963,3e-05,520,C
128,Fe,1,438.46719,0.00015,438.46718,3e-05,520,E
129,Fe,1,428.6434,0.00015,428.64319,3e-05,520,D
130,Fe,1,446.69383,0.00016,446.69374,3e-05,510,E
131,Fe,1,429.96283,0.00015,429.96288,3e-05,500,B
132,Fe,1,437.6774,0.0004,437.67725,3e-05,490,D+
133,Fe,1,437.6774,0.0004,437.67821,4e-05,490,
134,Fe,1,427.66758,0.00015,427.66743,3e-05,479,D
135,Fe,1,427.38682,0.00015,427.38676,3e-05,479,
136,Fe,1,452.65605,6e-05,452.65606,5e-05,468,
137,Fe,1,440.91192,0.00016,440.91189,4e-05,468,D
138,Fe,1,446.11964,0.00016,446.11955,3e-05,457,
139,Fe,1,448.89066,0.00016,448.89057,3e-05,457,C
140,Fe,1,447.99626,0.00016,447.99621,3e-05,447,
141,Fe,1,428.0539,0.0004,428.0535,3e-05,437,E
142,Fe,1,426.52678,0.00015,426.52683,3e-05,437,
143,Fe,1,449.59528,0.00016,449.59525,3e-05,437,D
144,Fe,1,444.54712,6e-05,444.54707,3e-05,427,A
145,Fe,1,456.56616,6e-05,456.56615,3e-05,427,E
146,Fe,1,450.48303,0.00016,450.48304,3e-05,427,D
147,Fe,1,442.38405,0.00016,442.3841,3e-05,427,D
148,Fe,1,428.99143,0.00015,428.99149,3e-05,417,
149,Fe,1,443.8343,6e-05,443.83425,3e-05,417,D
150,Fe,1,432.51747,0.00015,432.51754,3e-05,407,
151,Fe,1,429.40374,0.00015,429.40371,3e-05,407,
152,Fe,1,434.78323,0.00015,434.78332,3e-05,407,D
153,Fe,1,432.4948,0.0003,432.49479,3e-05,398,
154,Fe,1,434.72333,0.00015,434.723287,1.9e-05,398,A
155,Fe,1,456.65142,0.00017,456.65147,3e-05,398,D+
156,Fe,1,427.9488,0.0003,427.94878,3e-05,398,D
157,Fe,1,437.59859,0.00015,437.5986,3e-05,389,
158,Fe,1,448.81328,0.00016,448.81335,3e-05,389,D
159,Fe,1,456.00878,6e-05,456.00883,3e-05,380,D
160,Fe,1,437.77913,0.00015,437.77906,3e-05,372,D
161,Fe,1,439.1863,0.0004,439.1861,3e-05,363,E
162,Fe,1,437.29814,0.00015,437.29863,3e-05,347,D
163,Fe,1,430.52067,0.00015,430.52061,3e-05,347,E
164,Fe,1,456.87629,6e-05,456.87634,3e-05,347,
165,Fe,1,428.8956,0.0003,428.89548,3e-05,339,C
166,Fe,1,430.94535,0.00015,430.94538,4e-05,331,
167,Fe,1,425.86109,0.00015,425.86133,3e-05,331,D
168,Fe,1,434.44993,0.00015,434.4499,3e-05,331,
169,Fe,1,431.0374,0.0003,431.03717,3e-05,324,E
170,Fe,1,428.5822,0.0003,428.58234,3e-05,324,D
171,Fe,1,428.6864,0.0003,428.68631,3e-05,316,
172,Fe,1,434.32161,0.00015,434.32153,3e-05,316,
173,Fe,1,457.42159,0.00017,457.42153,3e-05,309,E
174,Fe,1,431.8801,0.0004,431.88051,3e-05,309,
175,Fe,1,454.24118,0.00017,454.24117,3e-05,295,D
176,Fe,1,442.31412,0.00016,442.31407,3e-05,295,E
177,Fe,1,433.82475,0.00015,433.82574,3e-05,295,D
178,Fe,1,427.1942,0.0003,427.19406,4e-05,288,
179,Fe,1,427.5698,0.0003,427.56979,3e-05,288,D+
180,Fe,1,456.88389,0.00017,456.88396,5e-05,275,
181,Fe,1,429.08644,0.00015,429.08641,3e-05,269,C+
182,Fe,1,446.13726,0.00016,446.13719,4e-05,269,
183,Fe,1,456.48211,0.00017,456.48218,7e-05,269,
184,Fe,1,451.45,0.0004,451.45026,3e-05,257,
185,Fe,1,440.7233,0.0004,440.72342,3e-05,257,
186,Fe,1,439.52738,0.00015,439.52739,3e-05,251,B
187,Fe,1,453.7673,0.0004,453.76703,3e-05,251,E
188,Fe,1,439.04477,0.00015,439.04478,3e-05,251,D
189,Fe,1,442.41876,0.00016,442.41873,4e-05,251,
190,Fe,1,452.33984,0.00016,452.33987,3e-05,245,D
191,Fe,1,449.44645,0.00016,449.44644,5e-05,240,
192,Fe,1,429.22841,0.00015,429.22847,3e-05,234,
193,Fe,1,446.46872,0.00016,446.46903,3e-05,234,
194,Fe,1,428.7938,0.0004,428.79396,4e-05,229,
195,Fe,1,445.66299,0.00016,445.6628,3e-05,219,E
196,Fe,1,443.9634,0.0004,443.96341,3e-05,219,E
197,Fe,1,426.07286,0.00015,426.07277,4e-05,219,
198,Fe,1,445.2609,0.0004,445.26109,3e-05,219,E
199,Fe,1,429.9467,0.0003,429.94666,3e-05,219,
200,Fe,1,443.9634,0.0004,443.9634,0.001,219,
201,Fe,1,445.2799,0.0003,445.27991,4e-05,214,
202,Fe,1,438.52493,0.00015,438.5249,3e-05,209,
203,Fe,1,452.77824,0.00016,452.77827,3e-05,209,E
204,Fe,1,439.5497,0.0003,439.54983,3e-05,209,
205,Fe,1,455.81051,0.00017,455.81054,3e-05,209,
206,Fe,1,445.46709,0.00016,445.46706,3e-05,209,
207,Fe,1,456.46983,0.00017,456.46969,3e-05,209,
208,Fe,1,455.16467,0.00017,455.16479,3e-05,204,E
209,Fe,1,425.6309,0.0004,425.63112,3e-05,204,
210,Fe,1,442.5656,0.0003,442.56574,4e-05,200,
211,Fe,1,446.2195,0.0003,446.21977,3e-05,200,
212,Fe,1,433.09516,0.00015,433.09517,4e-05,200,
213,Fe,1,426.00803,0.00015,426.00813,3e-05,200,
214,Fe,1,452.88207,0.00016,452.88204,5e-05,200,
215,Fe,1,451.85768,0.00016,451.85777,3e-05,195,E
216,Fe,1,442.9187,0.0003,442.91906,3e-05,195,
217,Fe,1,449.40552,0.00016,449.40521,3e-05,191,
218,Fe,1,455.44509,0.00017,455.4451,3e-05,186,D
219,Fe,1,430.7704,0.0003,430.77042,3e-05,182,
220,Fe,1,434.489,0.0004,434.48861,4e-05,182,
221,Fe,1,453.88363,0.00016,453.88362,3e-05,178,
222,Fe,1,456.53099,0.00017,456.53104,3e-05,178,E
223,Fe,1,446.3407,0.0004,446.34038,3e-05,170,
224,Fe,1,426.5236,0.0003,426.52359,4e-05,170,
225,Fe,1,434.049,0.0004,434.04889,3e-05,170,
226,Fe,1,449.55677,0.00016,449.55672,3e-05,170,
227,Fe,1,451.84318,0.00016,451.84308,3e-05,170,E
228,Fe,1,439.2579,0.0003,439.25795,3e-05,166,E
229,Fe,1,429.2163,0.0003,429.21629,3e-05,166,
230,Fe,1,449.08104,0.00016,449.08111,3e-05,166,
231,Fe,1,436.08029,0.00015,436.0804,4e-05,166,D
232,Fe,1,444.7805,0.0003,444.78027,4e-05,162,
233,Fe,1,440.3175,0.0004,440.31749,0.00014,162,
234,Fe,1,454.26983,0.00017,454.26971,3e-05,162,
235,Fe,1,450.97339,0.00016,450.97346,5e-05,162,
236,Fe,1,448.0271,0.0003,448.02703,3e-05,158,
237,Fe,1,440.7657,0.0003,440.76567,3e-05,158,
238,Fe,1,435.8684,0.0003,435.86835,3e-05,155,
239,Fe,1,441.4931,0.0003,441.49315,3e-05,151,
240,Fe,1,448.5972,0.0003,448.59695,3e-05,151,E
241,Fe,1,447.80179,0.00016,447.80174,3e-05,151,E
242,Fe,1,439.0752,0.0004,439.07509,4e-05,151,
243,Fe,1,425.9336,0.0003,425.93364,3e-05,151,D+
244,Fe,1,454.70166,6e-05,454.70169,3e-05,148,E
245,Fe,1,429.2117,0.0003,429.2117,3e-05,145,
246,Fe,1,444.0479,0.0003,444.04789,3e-05,145,E
247,Fe,1,454.06719,0.00017,454.06716,5e-05,145,
248,Fe,1,439.309,0.0004,439.30914,4e-05,141,
249,Fe,1,450.063,0.0004,450.06348,5e-05,141,
250,Fe,1,437.5476,0.0004,437.54768,4e-05,141,D+
251,Fe,1,441.8419,0.0003,441.84194,3e-05,138,
252,Fe,1,452.8479,0.0004,452.84788,5e-05,135,
253,Fe,1,425.6205,0.0003,425.62001,3e-05,135,
254,Fe,1,447.1677,0.0003,447.1676,3e-05,132,A
255,Fe,1,430.6578,0.0004,430.65796,3e-05,129,
256,Fe,1,456.68665,0.00017,456.6865,5e-05,129,
257,Fe,1,431.7047,0.0003,431.70482,3e-05,129,E
258,Fe,1,449.337,0.0003,449.33711,5e-05,129,
259,Fe,1,451.4416,0.0003,451.44149,6e-05,129,
260,Fe,1,430.5131,0.0003,430.51336,3e-05,120,
261,Fe,1,454.19413,0.00017,454.19422,3e-05,120,E
262,Fe,1,442.4068,0.0004,442.40673,3e-05,120,C
263,Fe,1,432.0483,0.0004,432.0486,3e-05,120,
264,Fe,1,426.7389,0.0004,426.73914,6e-05,120,
265,Fe,1,456.1414,0.00017,456.14132,5e-05,120,
266,Fe,1,430.0206,0.0004,430.02036,3e-05,115,E
267,Fe,1,427.987,0.0003,427.98685,4e-05,115,D
268,Fe,1,449.9136,0.0003,449.91353,5e-05,110,
269,Fe,1,448.7736,0.0003,448.77372,3e-05,110,E
270,Fe,1,448.3777,0.0003,448.37762,5e-05,110,E
271,Fe,1,434.3869,0.0004,434.38726,3e-05,110,
272,Fe,1,442.8567,0.0004,442.85702,3e-05,110,
273,Fe,1,449.2678,0.00016,449.26783,3e-05,107,D
274,Fe,1,444.6896,0.0003,444.68956,3e-05,105,
275,Fe,1,444.08236,0.00016,444.08243,3e-05,102,E
276,Fe,1,433.7517,0.0004,433.75168,3e-05,100,
277,Fe,1,456.54112,0.00017,456.54107,7e-05,100,
278,Fe,1,454.13138,0.00017,454.13158,3e-05,98,
279,Fe,1,434.1813,0.0004,434.18115,3e-05,89,
280,Fe,1,442.5752,0.0004,442.57511,3e-05,89,
281,Fe,1,451.5166,0.0003,451.5165,3e-05,89,E
282,Fe,1,450.7213,0.0003,450.72151,5e-05,79,
283,Fe,1,457.14375,0.00017,457.14374,3e-05,76,E
284,Fe,1,445.0767,0.0004,445.07667,3e-05,71,E
285,Fe,1,425.6807,0.0004,425.68043,4e-05,71,
286,Fe,1,456.69882,0.00017,456.69893,5e-05,71,D
287,Fe,1,453.6486,0.0003,453.64866,5e-05,71,
288,Fe,1,437.0981,0.0004,437.09763,3e-05,71,
289,Fe,1,455.69247,0.00017,455.69242,3e-05,71,D
290,Fe,1,451.082,0.0003,451.08223,3e-05,71,
291,Fe,1,444.1545,0.0004,444.15464,3e-05,71,
292,Fe,1,453.3956,0.0003,453.39576,5e-05,63,
293,Fe,1,449.8533,0.0003,449.8536,3e-05,62,
294,Fe,1,452.5863,0.0003,452.58635,3e-05,60,E
295,Fe,1,430.8495,0.0003,430.84928,4e-05,52,
296,Fe,1,439.3024,0.0004,439.30286,3e-05,40,
297,Fe,1,456.8602,0.0003,456.86022,3e-05,40,
298,Fe,1,444.0969,0.0004,444.09691,3e-05,40,
299,Fe,1,446.3132,0.0003,446.31302,4e-05,25,
